verifyName,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,id
夏台凤,16671,0.3147,42,170,303353.6471,97.71764706,91,20,0,0,1,3630224965
云翔,16631,0.2931,6,39,620109.2308,50.84615385,6,0,0,0,1,1582940572
项杰,17879,0.3619,208,499,147039.0782,62.93386774,121,7,0,0,1,3098009247
田子洳,8244,0.3239,166,0,0,0,0,0,0,0,1,1871850493
成勋,16631,0.2892,13,52,1263039.231,36.19230769,1,1,0,0,1,3180326580
周贵元,16663,0.2945,61,11,2358365.455,62.36363636,2,0,0,0,1,2270835963
郭中友,16642,0.3241,53,11,1951903.636,22.54545455,1,0,0,0,1,2621925327
郭翠芳,8389,0,2,0,0,0,0,0,0,0,1,1290564424
王磊,8244,0.3189,401,133,557816.391,57.42105263,92,2,0,0,1,3058435585
刘恒宇,16631,0.2918,292,916,147646.441,61.4650655,82,0,0,0,1,1236024672
杨嘉芸,16677,0.3605,239,891,170025.9933,23.9349046,281,9,0,0,1,1654808160
林晓哲,16756,0.3587,192,266,286471.3534,16.63533835,48,5,0,0,1,2548345064
赵静,16631,0.2743,20,21,21622.85714,32.23809524,2,1,0,0,1,2945841227
王谨轩,8244,0.3287,269,0,0,0,0,0,0,0,1,2170554434
乐诗辰,16631,0.2915,85,0,0,0,0,0,0,0,1,1751278773
陈煜,16631,0.3241,37,17,4751548.235,33.35294118,2,0,0,0,1,2735607553
那娜,16657,0.371,475,1273,105997.9419,28.52788688,334,21,0,0,1,1886391592
郭紫祺,16633,0.3398,172,184,699675.9783,45.66847826,73,4,0,0,1,1916299521
周翊翀,16723,0.3333,237,959,143330.1147,35.00312826,78,32,0,0,1,1865525280
李日焺,16641,0.2693,26,18,5435743.333,42.38888889,4,1,0,0,1,1984522777
郑柔美,0,0,0,0,0,0,0,0,0,0,1,3308961137
叶静仪,17973,0.343,247,268,43052.46269,27.28358209,63,23,0,0,1,2719155711
桑妮,16631,0.3006,29,0,0,0,0,0,0,0,1,1917106820
李晓璇,0,0,483,145,576977.7931,50.00689655,47,0,0,0,1,1344628373
李甫,0,0,14,149,605707.2483,47.51006711,22,0,0,2,1,1244383614
杨惜琳,16650,0.283,177,131,158815.4198,35.51145038,34,0,0,0,1,1777908445
陈嘉劲,8244,0.2917,205,2044,66697.63209,28.68101761,383,5,0,0,1,1527182517
李浚一,8244,0.2688,200,467,254613.5332,59.4111349,91,4,99,2.3333,1,1389497841
江蓉,16679,0.3328,116,400,149914.2,28.865,98,2,1342,4.1667,1,2043681231
滭龙杰,0,0,120,120,990279,63.65833333,36,0,0,0,1,2096129161
秦浩,16715,0.3525,264,11,7362981.818,10.09090909,1,0,0,0,1,2419002124
高娜恩,16631,0.216,4,14,1014287.143,57.57142857,2,2,0,0,1,2501797185
刘若晴,16780,0.3485,936,3492,43338.57388,58.59593356,558,42,0,0,1,1551159760
刘宇哥,16631,0.3246,240,1687,94569.70954,38.66627149,246,53,0,0,1,1678448712
曹召,16659,0.2969,169,240,453911.75,24.77916667,49,0,24,0,1,2381003130
王行芝,16631,0.2703,27,219,673412.0548,71.51598174,47,0,0,0,2,1751842910
黄远,16632,0.3116,37,0,0,0,0,0,0,864.2122,2,1802296863
叶少喃,16674,0.3512,285,119,602541.6807,15.94957983,33,2,0,0,2,3166826197
胡妮娜,16636,0.3474,307,90,619720.6667,26.68888889,23,0,0,494.6667,2,1896493083
程培皓,16664,0.3434,334,18,1176260,24.83333333,5,0,0,0,2,1799896413
陈楚寰,16697,0.3166,67,590,170171.8983,66.91694915,129,1,0,0,2,2680628824
于小夫,16637,0.3315,107,1292,99374.21053,27.32430341,320,3,0,0,2,1571721145
翟廷军,16665,0.3168,193,39,190484.6154,46.8974359,9,0,0,0,2,1846405005
芦浩,16974,0.347,628,1259,84575.64734,29.73391581,256,24,396,192.6,2,2464201063
冯偌凝,16739,0.361,217,358,246392.514,42.31284916,73,1,0,0,2,2612296287
孙照年,16635,0.2889,81,23,4269075.652,54.26086957,9,0,0,0,2,1920297644
崔宇植,16631,0.2353,25,33,1948227.273,94.81818182,1,0,0,0,2,3285862351
张扬子,18085,0.372,345,1309,91512.78839,52.62796028,324,34,0,0,2,1934013992
郭婷婷,16633,0.3472,272,188,571880.7447,53.36170213,64,3,0,0,2,1662961785
刘天松,16999,0.3598,163,40,1538469,59.3,18,2,0,4.1667,2,2380969435
全慧彬,8393,0,13,26,3413921.538,61.03846154,8,5,0,0,2,2725872933
晓晨,16686,0.3333,221,1018,130839.0766,47.38015717,240,17,0,0,2,1871943077
吴子毅,8244,0.3494,335,179,494165.6983,49.77653631,47,6,0,0,2,1749113613
李友胜,16758,0.3612,2384,634,239742.6814,67.16246057,112,0,0,0,2,1668200353
孙语赛,16682,0.3245,83,195,273169.2308,95.64615385,69,5,0,0,2,3389873114
崔丹尼尔,8389,0,8,100,854179.2,43.41,10,6,0,0,2,2830702922
田家川,16739,0.3467,790,4699,27282.12386,46.09406257,994,146,0,0,2,1973393537
向嵩,16700,0.3291,1374,275,448858.6909,85.14909091,91,89,0,0,2,1407335202
凯利,16677,0.3188,223,568,202398.5915,46.61267606,172,2,0,0,2,1664076712
王盈,16701,0.3189,220,1192,111871.8624,45.95721477,313,39,0,0,2,1765026844
夏小龙,16633,0.3232,15,0,0,0,0,0,0,0,2,2008684567
马佳麒,16637,0.342,337,2613,50462.98507,33.09605817,631,3,0,0,2,1907506295
刘旆豪,16631,0.2868,222,3485,42419.51793,39.61176471,606,23,0,0,2,1757836717
北代高士,17130,0.3337,195,751,137935.3662,34.38748336,5,0,1528,84.5,2,1832181532
郑国芳,16639,0.3069,497,1572,67956.37405,37.10368957,351,98,0,0,2,1150189352
陈之财,16704,0.3077,19,116,904674.3103,51.04310345,18,4,0,821.75,2,1619471617
刘剑,16690,0.3284,156,145,795295.8621,62.15172414,26,3,0,0,2,1698239063
沈海蓉,8389,0,4,50,206176.8,40.78,5,1,44,0,2,1949188683
周俊伽,17149,0.359,83,84,1180680.714,44.3452381,14,1,119,248.6667,2,2409265240
李娜,16654,0.339,364,421,324481.8527,40.89548694,144,4,0,247,2,1836048927
李晓燕,16688,0.3174,656,1482,92928.09717,52.95546559,287,19,0,0,2,1863697700
胡清蓝,8389,0,3,0,0,0,0,0,0,0,2,1271162670
虞颖嫣,17362,0.3309,506,3399,34388.06708,44.39629303,958,40,0,0,2,1893465355
王竹琴,16746,0.3326,185,760,147926.6053,42.46578947,232,68,0,0,2,1102743380
乙黑绘里,16642,0.293,50,492,97981.82927,16.87195122,18,1,0,0,2,1805287042
云熙程,16683,0.3096,169,292,359666.3014,41.93150685,105,7,0,0,2,1140681197
王紫馨,17586,0.3596,418,434,191709.4009,44.34792627,131,0,0,0,3,2790509331
丹丹,16632,0.3036,463,1832,24287.65284,45.81768559,560,52,0,0,3,1919873587
崔钰,16655,0.3243,411,330,155012.3636,56.53030303,69,5,0,0,3,1634051141
申思,16631,0.2787,23,384,283212.3438,56.06510417,92,15,0,0,3,1887365097
