MovieName,actorid,ReleaseYear,BoxOffice
倭寇的踪迹,4746,2012,36
诡影迷情,2240681,2015,340
师父,2239679,2015,5482
一刻十年,2238234,2015,11
探灵档案,2236804,2015,334
丑男大翻身,2232762,2014,5
犹太女孩在上海2：项链密码,2232757,2015,164
大峰祖师,2232647,2014,48
0.5的爱情,2232614,2014,55
与贼同屋,2232659,2014,48
十二生肖城市英雄,2232393,2014,59
不爱不散,2232360,2014,77
东北偏北,2232540,2015,92
黑月,2232279,2014,96
破局,2232195,2014,163
狙击时刻,2232166,2014,168
黄克功案件,2232189,2014,227
超萌英雄,2232131,2014,168
有一天,2231954,2014,219
有一天,2231937,2014,219
死亡派对,2231719,2014,551
等爱归来,2231181,2015,71
美人邦,2231101,2014,702
还魂之迷失曼谷,2231093,2014,778
最佳嫌疑人,2230921,2014,884
怨灵,2230187,2014,1894
巴啦啦小魔仙之魔法的考验,2230173,2014,1916
好命先生,2230091,2014,2212
魁拔Ⅲ战神崛起,2230043,2014,2499
食人虫,2230068,2014,2257
大话天仙,2229788,2014,2962
巴黎假期,2229603,2015,1792
前任攻略,2229107,2014,12968
前任攻略,2229119,2014,12968
微爱之渐入佳境,2228934,2014,28637
三只小猪与神灯,2228193,2015,2382
警察日记,2228203,2014,210
怖偶,2228145,2014,563
巴啦啦小魔仙之魔箭公主,2227068,2015,3828
初恋未满,2226231,2013,225
爱情银行,2225307,2013,536
何以笙箫默,2225792,2015,35351
巴啦啦小魔仙,2225281,2013,5190
狄仁杰之神都龙王,2223767,2013,60077
咱们结婚吧,2220269,2015,28448
我的播音系女友,2218760,2014,1282
被风吹过的记忆,2217694,2015,0
青春检察官,2216285,2015,0
煎饼侠,2216223,2015,116275
唐人街探案,2216223,2015,82441
37次想你,2216391,2014,49
蜡笔总动员,2216403,2015,662
太平轮：彼岸,2215586,2015,5105
黄克功案件,2211930,2014,227
恐怖电影院,2209752,2014,1228
怨灵,2209721,2014,1894
剑齿王朝,2205914,2012,2
摩登森林之美食总动员,2205907,2014,216
青春.com,2204781,2014,
开心超人2：启源星之战,2205191,2014,2803
冰封：重生之门,2200622,2014,14269
201413爱你一世一生,2200646,2014,89
吉星高照2015,2200061,2015,1529
云之锦,2193431,2012,15
三更车库,2192680,2015,792
不爱不散,2193121,2014,77
同桌的你,2185586,2014,45576
笔仙3,2183503,2014,5038
笔仙,2183503,2012,5817
我爱灰太狼,2183260,2012,7535
我愿意,2183214,2012,8497
花都之恋,2181701,2015,0
嗨起，打他个鬼子,2180556,2013,1
千锤百炼,2180624,2013,23
爱你不等来生,2214671,2014,25
谁动了我的梦想,2214179,2014,319
心迷宫,2213790,2015,1067
全能囧爸,2212556,2015,83
黄克功案件,2211936,2014,227
斐济99℃爱情,2212511,2014,127
爱你不等来生,2211684,2014,25
街舞小子,2211600,2014,9
十二生肖城市英雄,2211605,2014,59
花咒,2211694,2014,628
街舞小子,2211594,2014,9
天河,2210920,2014,3324
剑河,2210374,2014,24
凤凰台,2210531,2014,2
守梦者,2209833,2015,31
诡替身,2209744,2014,602
恐怖电影院,2209753,2014,1228
非你勿扰,2209707,2015,46
墓穴迷城,2207661,2015,249
简单爱,2206241,2015,21
黎明之眼,2206388,2014,29
神探驾到,2205534,2015,3740
黄金福将,2204787,2015,125
女生宿舍,2205231,2014,1283
我是狼之火龙山大冒险,2205196,2014,207
江湖论剑实录,2205196,2014,1093
好命先生,2205183,2014,2212
与贼同屋,2204696,2014,48
夏洛特烦恼,2204212,2015,144161
我就是我,2203603,2014,652
宝贝，对不起,2202838,2015,497
全城通缉,2201685,2014,3504
风雨日升昌,2202220,2015,0
热血男人帮,2202678,2015,178
热血男人帮,2202679,2015,178
幸福中转栈,2200800,2014,31
一个温州的女人,2200782,2014,92
完美假妻168,2200775,2014,2929
激浪青春,2200831,2014,498
永远的守望,2201134,2015,9
心咒,2199603,2014,243
异种,2199550,2015,508
西游新传2：真心话大冒险,2200415,2015,245
心咒,2200303,2014,243
我是狼之火龙山大冒险,2200419,2014,207
我的播音系女友,2200074,2014,1282
恐怖电影院,2194563,2014,1228
一刻十年,2194554,2015,11
找个高富帅,2194558,2014,91
我是女王,2194431,2015,1553
人间蒸发,2193730,2013,433
湘江北去,2194346,2011,136
天上的菊美,2194340,2014,1177
放手爱,2193984,2014,198
致命替身,2193405,2012,262
一八九四·甲午大海战,2193472,2012,414
桃枝的桃,2193382,2012,10
咱们的工会主席,2193719,2013,14
母语,2193468,2012,23
开心超人,2193278,2013,3566
火焰山历险记,2193275,2013,583
寒战,2193339,2012,25303
深夜前的五分钟,2193243,2014,1007
古镇凶灵之巫咒缠身,2193243,2013,1064
终极大冒险,2193264,2013,446
爱·回家,2193193,2013,0
啊朋友还钱,2193179,2013,252
啊朋友还钱,2193178,2013,252
狄仁杰之神都龙王,2192715,2013,60077
永不消失的广播,2193104,2014,39
抱养奇缘,2193061,2015,0
光的棍,2193195,2013,70
刺客聂隐娘,2191664,2015,6140
前任攻略,2192129,2014,12968
甜心巧克力,2189252,2013,412
椰岛警魂,2189823,2012,0
昆塔·盒子总动员,2187850,2013,1719
孪生密码,2188340,2013,82
我想和你好好的,2187997,2013,8774
闯入迷宅,2188030,2014,0
神奇,2187966,2013,4595
咱们结婚吧,2186404,2015,28448
俐侎阿朵,2186284,2014,0
大寒桃花开,2186505,2014,114
拐杖,2185059,2013,3
中国好声音之为你转身,2185447,2013,301
一号目标,2232080,2014,204
放手爱,2232094,2014,198
蓝色骨头,2231783,2014,420
激浪青春,2231774,2014,498
蓝色骨头,2231777,2014,420
完美超越,2231907,2014,232
有一天,2231930,2014,219
有一天,2231932,2014,219
谁动了我的梦想,2231800,2014,319
心咒,2231874,2014,243
有一天,2231948,2014,219
怖偶,2231693,2014,563
封门村,2231688,2014,567
有一天,2231725,2014,219
死亡邮件,2231657,2014,646
我就是我,2231641,2014,652
时间都去哪了,2231474,2015,26
黑猫警长之翡翠之星,2231365,2015,7197
桔子的天空,2231414,2015,15
诡八楼,2231046,2014,728
洋妞到我家,2231006,2014,756
还魂之迷失曼谷,2231066,2014,778
特工艾米拉,2231026,2014,741
黄金福将,2231115,2015,125
洋妞到我家,2230960,2014,756
洋妞到我家,2231004,2014,756
王朝的女人·杨贵妃,2230932,2015,13393
密道追踪之阴兵虎符,2230455,2014,901
密道追踪之阴兵虎符,2230453,2014,901
爱情进化论,2230939,2014,762
守梦者,2230304,2015,31
推拿,2230301,2014,1314
推拿,2230299,2014,1314
敬礼检察官,2230355,2015,0
江湖论剑实录,2230413,2014,1093
江湖论剑实录,2230402,2014,1093
我的播音系女友,2230281,2014,1282
推拿,2230294,2014,1314
恐怖电影院,2230228,2014,1228
恐怖电影院,2230219,2014,1228
床下有人2,2230221,2014,1489
万万没想到,2230197,2015,32251
81号农场之疯狂的麦咭,2230197,2014,1878
81号农场之疯狂的麦咭,2230191,2014,1878
奥拉星：进击圣殿,2230264,2015,847
巴啦啦小魔仙之魔法的考验,2230160,2014,1916
巴啦啦小魔仙之魔法的考验,2230156,2014,1916
怨灵,2230185,2014,1894
女生宿舍,2230247,2014,1283
食人虫,2230071,2014,2257
好命先生,2230088,2014,2212
谁说我们不会爱,2230121,2014,2146
魔幻仙踪,2230113,2014,2186
巴啦啦小魔仙之魔法的考验,2230153,2014,1916
魔幻仙踪,2230110,2014,2186
魔幻仙踪,2230102,2014,2186
食人虫,2230049,2014,2257
魁拔Ⅲ战神崛起,2230009,2014,2499
完美假妻168,2229829,2014,2929
大话天仙,2229784,2014,2962
唐人街探案,2229773,2015,82441
全城通缉,2229745,2014,3504
王牌,2229761,2014,3165
开心超人2：启源星之战,2229848,2014,2803
王牌,2229764,2014,3165
秦时明月之龙腾万里,2229616,2014,5998
秦时明月之龙腾万里,2229613,2014,5998
笔仙3,2229660,2014,5038
猪猪侠之勇闯巨人岛,2229702,2014,4365
龙之谷：破晓奇兵,2229641,2014,5740
秦时明月之龙腾万里,2229614,2014,5998
潜艇总动员4：章鱼奇遇记,2229683,2014,4910
秦时明月之龙腾万里,2229610,2014,5998
神秘世界历险记2,2229409,2014,6193
太空熊猫总动员,2229467,2014,438
神秘世界历险记2,2229473,2014,6193
露水红颜,2229265,2014,6628
死亡派对,2229220,2014,551
英雄之战,2229209,2014,7458
整容日记,2229183,2014,8440
前任攻略,2229110,2014,12968
前任攻略,2229104,2014,12968
我的早更女友,2229068,2014,16180
我的早更女友,2229067,2014,16180
太平轮（上）,2229051,2014,19542
太平轮（上）,2229043,2014,19542
我的早更女友,2229066,2014,16180
闺蜜,2229011,2014,20494
微爱之渐入佳境,2228929,2014,28637
催眠大师,2228918,2014,27389
白发魔女传之明月天国,2228895,2014,38914
老男孩之猛龙过江,2228961,2014,20887
心花路放,2228580,2014,116934
我是路人甲,2228181,2015,6383
小时代4：灵魂尽头,2228474,2015,48842
驱魔少年,2228534,2015,
兔子镇的火狐狸,2228669,2015,266
我是路人甲,2228166,2015,6383
我是路人甲,2228164,2015,6383
西游记之大圣归来,2228745,2015,95652
奋斗吧！青春,2227206,2015,
汽车人总动员,2228138,2015,584
午夜43路,2227938,2015,840
开心超人2：启源星之战,2227005,2014,2803
意外的恋爱时光,2226776,2013,2362
81号农场之保卫麦咭,2226764,2013,2531
杜拉拉追婚记,2227183,2015,4971
小猪班纳大电影之梦想大“帽”险,2227198,2015,449
喜羊羊与灰太狼之喜气羊羊过蛇年,2226598,2013,12493
赛尔号大电影3之战神联盟,2226591,2013,7649
制服,2226578,2013,1293
刺客,2226714,2013,10
昆塔·盒子总动员,2226609,2013,1719
三月情流感,2226571,2013,135
神奇,2226740,2013,4595
我爱灰太狼2,2226738,2013,7549
小时代,2226731,2013,48478
林中小屋,2226607,2014,396
铁血娇娃,2226701,2013,522
无法证明,2226502,2015,14
天边的孩子,2226532,2015,7
昆塔·盒子总动员,2226252,2013,1719
亲，别怕,2226037,2015,226
哺乳期的女人,2226045,2015,28
亲，别怕,2226032,2015,226
石器时代之百万大侦探,2226124,2013,32
杀戒,2226227,2013,947
我为相亲狂,2225309,2013,517
铁血娇娃,2225308,2013,522
